"colnames.gbm_pop.","per_change"
"IDH1",0.716999953332089
"ATRX",0.279179111442972
"PTEN",0.278210752286728
"CIC",0.208348889303715
"EGFR",0.166458605562815
"TP53",0.161523473959306
"RB1",0.0842705805488146
"FUBP1",0.0826138697031921
"NOTCH1",0.0780287474332649
"MUC16",0.0777429064775061
"PIK3R1",0.0506288501026694
"NF1",0.0484062908344223
"GRIN2A",0.0424444651857383
"IDH2",0.0374393317155124
"SMARCA4",0.0358642897143924
"PDGFRA",0.033134216912451
"CSMD3",0.0179729792794474
"PIK3CA",0.0165087735672951
"FAT4",0.0115036400970693
"BCOR",0.0008166884450252
